Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Fall 2022,Closed,PHIL*1010*0104 (8856) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Thur,09:30AM - 10:20AM,"MCKN, Room 308", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0105 (8857) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Wed,04:30PM - 05:20PM,"ROZH, Room 107", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0106 (8858) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Wed,07:00PM - 07:50PM,"ALEX, Room 309", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0107 (8859) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Thur,03:30PM - 04:20PM,"MCKN, Room 314", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0108 (8860) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Thur,02:30PM - 03:20PM,"ROZH, Room 108", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0109 (8861) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Fri,11:30AM - 12:20PM,"MCKN, Room 315", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0110 (8862) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Fri,12:30PM - 01:20PM,"MINS, Room 128", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0111 (8863) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Thur,07:00PM - 07:50PM,"ROZH, Room 107", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0112 (8864) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Fri,02:30PM - 03:20PM,"CRSC, Room 403", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0113 (8865) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Thur,11:30AM - 12:20PM,"MCKN, Room 308", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
