Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Winter 2023,Open,ENGL*4280*01 (2260) Canadian Literatures,Guelph,"Tues, Thur",10:00AM - 11:20AM,"CRSC, Room 101", , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 20 / 20,1,Undergraduate
Winter 2023,Open,ENGL*4720*01 (2261) Creative Writing: Prose/Poetry,Guelph,Mon,02:30PM - 05:20PM,"ANNU, Room 002", , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 20 / 20,1,Undergraduate
Winter 2023,Closed,ENGL*4810*01 (2262) Directed Reading,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Closed,ENGL*4810*02 (2263) Directed Reading,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Closed,ENGL*4810*03 (2264) Directed Reading,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Closed,ENGL*4910*01 (2265) Honours English Essay,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Closed,ENGL*4910*02 (2266) Honours English Essay,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Closed,ENGL*4910*03 (2267) Honours English Essay,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 0 / 0,0.5,Undergraduate
Winter 2023,Open,ENVM*4500*0101 (2275) ENV. Management Int. Project,Guelph,"Tues, Thur",10:00AM - 11:20AM,"MACS, Room 129",Fri,12:30PM - 01:20PM,"MACS, Room 129", , , ,FALSE,FALSE,FALSE, , , ,S. Haerri, 40 / 40,1,Undergraduate
Winter 2023,Open,ENVS*1060*DE01 (2276) Discovering Planet Earth,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,A. Brown, 150 / 150,0.5,Undergraduate
